Country,Order Date,Total Revenue
Azerbaijan,03/06/1986,142509.72
Panama,23/05/1997,1989697.2
Sao Tome and Principe,17/09/1960,93169.38
Sao Tome and Principe,26/10/1963,745214.14
Belize,03/11/1973,3914725.66
Denmark,23/03/1976,125562.72
Germany,05/03/1980,3481860.8
Turkey,27/03/1979,58844.31
United Kingdom,19/12/1975,1253749.86
Kazakhstan,26/07/1960,1205797.6
Haiti,05/01/2000,450753.2
Italy,17/09/1956,127311.2
Malta,03/10/1953,2219992.94
Jordan,11/08/1995,3136191.11
Cambodia,22/12/1969,693578.12
Saint Kitts and Nevis ,15/04/1999,5863494.84
Cameroon,15/03/1989,60514.38
Bahrain,14/05/1953,348791.84
Solomon Islands,30/09/1966,174995.6
Monaco,22/04/1990,3345265.77
Comoros,19/09/1971,143393.9
Iceland,06/10/1963,331605.54
Zambia,22/12/1975,1705954.4
Egypt,20/06/1990,1002787.5
Togo,04/05/1978,900685.76
Saudi Arabia,30/01/1990,857960.14
Morocco,15/07/1966,70251.36
Tunisia ,06/06/1959,2300073.72
Angola,25/06/1986,3260637.6
Vietnam,17/05/1981,396383.9
Belarus,31/08/1954,3654833.07
Myanmar,15/12/1992,979563.6
Lithuania,04/06/1980,55830.72
Switzerland,14/09/1992,1320563.44
Antigua and Barbuda ,21/10/1970,978998.8
Mongolia,24/10/1959,3734148.39
Greenland,08/07/1963,85192.23
Eritrea,19/01/1991,270189.6
Lithuania,19/10/1973,328034.8
Saint Vincent and the Grenadines,20/10/1965,501658.74
Portugal,07/08/1992,340780.72
Somalia,25/08/1995,169633.75
Turkey,03/10/1990,691305.28
Israel,23/07/1969,553691.64
Dominica,01/07/1961,59011.2
Luxembourg,29/01/1995,3947624.73
Switzerland,20/03/1978,1801048.41
Singapore,26/01/1979,1666978.4
Cyprus,10/06/1968,1438371.66
Botswana,25/09/1952,836297.28
Belize,22/01/1978,278717.88
Malawi,30/10/1955,28412.8
Kyrgyzstan,09/08/1974,342040.05
Macedonia,19/01/1980,98414.1
Rwanda,26/04/1973,76182.78
Cape Verde,22/08/1989,14647.68
Pakistan,05/01/1984,83354.88
Kyrgyzstan,02/02/1988,1730032.56
Eritrea,04/03/1973,706228.93
Israel,21/04/1975,879784.71
Libya,27/12/1960,1082991.63
Bangladesh,16/10/1998,1065313.56
Benin,07/05/1955,203359.2
Burundi,10/07/1968,1424486.88
Malta,28/12/1993,323371.75
Saint Vincent and the Grenadines,16/03/1985,537374.75
China,06/01/1972,712750.5
Dominica,12/03/1967,4094378
Albania,14/12/1997,1683654.5
Luxembourg,31/07/1987,133724.08
Pakistan,14/06/1978,169633.6
Bulgaria,08/07/1960,737640
Egypt,29/01/1980,409137.3
Central African Republic,15/10/1965,2182436.97
Benin,08/07/1995,4945866.27
Turkey,24/09/1988,4546240.81
Ukraine,09/10/1968,33018.87
Uganda,16/10/1972,2099871.6
Ghana,06/05/1974,465816.65
Namibia,28/10/1961,745188.22
Republic of the Congo,25/09/2000,5445732.23
Netherlands,02/09/1954,2138982.3
Australia,31/08/1961,606403.6
Montenegro,11/10/1970,940655.7
Iraq,16/11/1993,755145.1
Cote d'Ivoire,01/02/1997,61020.7
Mexico,12/06/1966,1372750.68
Slovakia,18/09/1999,939457.88
Bulgaria,21/02/1973,5076181.95
Afghanistan,28/04/1969,5707855.65
Indonesia,02/10/1973,536259.9
Italy,10/05/1983,4350577.2
Ukraine,21/05/1955,711104.9
Thailand,03/11/1993,1835760.99
Mali,09/12/1963,6355158.39
Mexico,12/10/1986,247968.82
Lebanon,23/12/1955,875099.84
South Korea,10/05/1969,415614.55
United Arab Emirates,02/10/1968,3745117.53
Georgia,07/12/1979,441058.2
Guinea-Bissau,11/10/1989,28176.6
Georgia,19/09/1997,292714
Malawi,31/05/1955,430880.56
Saudi Arabia,14/07/1972,5441722.61
Saint Lucia,13/10/1975,70413.51
Macedonia,20/05/1967,1152284.16
Rwanda,07/10/1978,202042.1
Dominica,03/06/1981,37675.3
Libya,02/06/1959,592249.6
Angola,01/03/1988,84181.9
Lesotho,22/08/2000,766505.69
Mauritius ,23/07/1966,1655918.25
Sudan,11/12/1962,404642.16
Slovakia,07/03/1997,1166321.52
Japan,10/06/2000,546937.2
Estonia,22/12/1982,1905237.77
Laos,24/12/1984,984359.68
Belgium,19/06/1960,296039.52
Bhutan,27/05/1987,4169116.98
United States of America,23/08/1960,1925954.14
Egypt,05/08/1976,101672.12
Sweden,12/04/1979,1025794.45
Nepal,16/10/1980,600929.12
Senegal,15/01/1966,1019800.96
Dominican Republic,21/06/1958,32675.84
Ukraine,02/11/1986,1031166.08
Comoros,23/10/1984,434825.12
Benin,05/06/1990,1545424.1
Ethiopia,17/12/1980,54319.26
Djibouti,12/07/1952,754170
United Arab Emirates,15/07/1963,30604
Italy,25/03/1997,129870.65
Kazakhstan,05/08/1954,397451.36
The Bahamas,02/12/1998,1623323.6
Algeria,12/12/1994,55401.54
Malta,27/07/1997,206433.57
Sudan,26/07/1960,726252.78
Lithuania,28/09/1962,182014.64
Lesotho,16/01/1981,4490744.16
Israel,22/10/1981,849107.7
Benin,10/08/1985,1756836.96
Burundi,30/04/1962,1226438.04
Costa Rica,10/07/1959,902324.96
Maldives,14/01/1982,2471341.95
Mauritania,17/01/1980,452474.22
Liberia,07/08/1954,47450
East Timor,06/04/1978,2250361.26
Sweden,02/02/1973,48991.08
Republic of the Congo,07/07/1958,193127.99
Uzbekistan,04/09/1966,2072323.68
Saudi Arabia,08/02/1962,524570.04
South Africa,28/08/1983,68203.26
Lesotho,03/11/1998,207232.8
Thailand,18/06/2000,555798.08
Australia,24/03/1992,1621533.1
Dominica,11/10/1976,4150776.8
Monaco,09/06/1970,1128413.2
Egypt,23/10/1970,1042884.3
Ireland,11/07/1997,1679544.09
South Korea,11/07/1976,1805805.33
Kyrgyzstan,02/02/1989,189657.65
Benin,18/08/1984,2391921.2
India,18/08/1960,1448950.8
Burundi,23/06/1959,1428291.6
Maldives,03/10/1957,14766.15
India,18/04/1959,689228.96
United Arab Emirates,12/03/1951,22242.72
Sudan,10/03/1986,835276.16
Swaziland,22/12/1979,56045.31
Angola,23/10/1953,220879.75
Slovenia,04/09/1974,2324155.2
North Korea,05/11/1992,91455.87
Tanzania,10/08/1991,4704992.25
Papua New Guinea,07/05/1978,889236.24
Turkmenistan,31/03/1961,236349.3
Grenada,24/02/1967,1943791.2
Sweden,16/02/1993,1851917.1
Greece,07/03/1952,783803.46
Costa Rica,19/10/1966,1069434.3
Kiribati,08/03/1963,1307000.28
Turkmenistan,24/02/2000,2806412.28
Somalia,29/12/1956,374712.65
Saudi Arabia,13/01/1955,1171166.64
Portugal,07/04/1980,960899.04
Iran,12/01/1973,1400210.8
Cambodia,22/12/1977,769814.87
Switzerland,09/05/2000,751343.89
Dominica,10/07/1989,67478.28
Kazakhstan,04/02/1969,544640.05
Myanmar,10/09/1992,765188.7
Mauritius ,14/06/1980,6357763.23
Comoros,03/03/1980,720368.22
Vietnam,03/07/1954,1213468.74
South Africa,18/06/1968,474452.55
The Bahamas,18/05/1985,6381206.79
Tunisia ,12/08/1971,1408923.72
South Sudan,27/01/1971,180950.22
Guinea,09/08/1984,1991587.4
Vietnam,18/12/1998,376938.76
Grenada,10/12/1989,1079806.54
Trinidad and Tobago,01/02/1958,83111.64
Israel,07/10/1973,6267036.06
Papua New Guinea,14/10/1958,88784.28
Iraq,20/06/1977,3258451.6
Sudan,24/05/1965,855188
Vatican City,08/07/1997,2939051.46
Norway,22/08/1991,6564416.21
Kosovo,15/06/1963,3928091.06
Papua New Guinea,05/05/1965,174845
Kuwait,28/02/1991,23625.84
Tuvalu,11/03/1984,215711.6
Nicaragua,10/03/2000,1562497.2
Croatia,06/11/1981,734470.88
Haiti,16/10/1970,15515.79
Tuvalu,16/07/1951,3330399.66
Croatia,17/10/1976,3341368.8
Czech Republic,09/11/1985,1291178.9
Egypt,20/04/1969,1981390.4
Sierra Leone,01/12/1985,968113.04
Rwanda,02/02/1976,20180.79
Macedonia,27/11/1963,2037728.7
Andorra,09/09/1961,1677856.53
China,22/11/1955,145014.56
Panama,19/12/1959,2378193.93
Tonga,19/06/1955,1963358.48
Finland,19/06/1958,2239392.12
Senegal,04/04/1968,395495.75
Maldives,09/12/1983,1541586.06
Montenegro,03/05/1986,8256.3
Guinea,24/06/1996,591436.34
Lesotho,04/03/1982,1146338.4
Dominican Republic,27/08/1979,994397.67
Jordan,25/12/1991,3202566.99
Papua New Guinea,07/09/1987,2134410.4
Libya,26/07/1953,6347228.46
Cuba,20/07/1974,1927615.41
Saint Kitts and Nevis ,23/06/1998,1341496.4
Finland,13/11/1991,577725
Greenland,09/11/1961,349559.21
Netherlands,30/06/1973,2065470.48
Kuwait,12/09/1999,3576783.42
Belgium,04/05/1968,273074.75
Egypt,02/11/1951,21197.76
Dominican Republic,21/07/2000,3238340.4
United Arab Emirates,05/03/1987,23996.76
Syria,14/06/1970,956712.6
United Kingdom,17/08/1976,961008.32
Monaco,23/07/1974,1610425.3
Syria,22/10/1957,1202808.39
Dominica,22/01/1998,34898.71
Tuvalu,21/01/1976,1410727.42
Iceland,14/02/1960,1191902.32
Antigua and Barbuda ,07/02/1995,378082.98
Cote d'Ivoire,07/11/1963,764998.3
Tuvalu,17/12/1986,1336008.32
Mauritius ,23/11/1969,30238.53
El Salvador,17/04/1999,1354266.9
Maldives,23/08/1985,213306.84
Australia,07/12/1986,404794.74
Iran,01/09/1971,420169.75
Guinea,07/04/1976,320054.68
Japan,27/06/1977,81889.41
Kuwait,19/08/1983,1318948.4
Rwanda,05/02/1983,1051613.56
Slovenia,21/01/1961,422919.2
Cambodia,07/09/1954,492767.52
Morocco,29/07/1963,810509.66
Somalia,07/09/1959,1647285.55
Azerbaijan,10/06/1976,1286242.4
Moldova ,04/06/1975,424334.24
Italy,02/09/1998,688593.54
Ghana,06/06/1997,474799.2
Israel,07/10/1959,388361.6
Benin,24/09/1969,20861.88
Taiwan,02/04/2000,1035974.4
Mozambique,04/02/1972,2041984.72
Samoa ,22/11/1984,864968.5
Afghanistan,05/05/1959,672850.8
Mauritania,26/12/1961,51081.75
Mozambique,04/07/1968,5547657.99
Fiji,29/12/1954,48571.98
Albania,08/02/1956,1083775.74
South Sudan,01/07/1991,5219856.97
Egypt,27/06/1995,650325.61
Portugal,17/09/1974,9679.8
Netherlands,28/11/1984,2763084.03
Democratic Republic of the Congo,22/05/1959,786522.8
Albania,14/01/1957,177689.28
Papua New Guinea,15/04/1985,694810.6
Maldives,20/02/1975,1701139
Gabon,30/08/1951,702530.56
Greenland,13/07/1958,45138.54
Sierra Leone,01/08/1996,281069.47
Costa Rica,12/09/1971,924827.2
Hungary,26/12/1952,55830.72
Greece,04/07/1973,597969.9
The Bahamas,01/07/1951,587399.28
Estonia,30/11/1963,673046.55
Tonga,20/02/1994,1048378.3
Egypt,17/12/1971,764500.88
Norway,06/07/1986,700484.8
Kenya,17/01/1967,1224833.44
Bangladesh,21/08/1998,81651.8
France,21/05/1994,999907.7
Marshall Islands,03/01/1963,221744.6
Bosnia and Herzegovina,13/04/1995,1463261.88
Namibia,01/03/1998,1042068.3
Croatia,07/06/1970,6263694.71
Norway,02/10/1999,707389.6
Croatia,06/06/1960,1167084.42
Sierra Leone,05/12/1986,1632640.9
Russia,18/01/1956,4214681.1
Ireland,28/12/1973,31180.86
Pakistan,14/03/1996,695917.38
Canada,13/11/1988,346018.76
Qatar,06/04/1973,96133.7
Turkmenistan,17/02/1959,127662.26
Moldova ,05/08/1990,2340645.72
Pakistan,10/08/1953,108766.36
Tuvalu,15/07/1990,162914.4
Sri Lanka,10/03/1990,1036726.32
Finland,08/09/1974,1511768.16
France,21/11/1959,5621895.93
Bahrain,26/04/1972,14946.66
Cote d'Ivoire,27/06/1959,1334006.94
Hungary,25/04/1970,81403.08
Bulgaria,14/01/1999,146107.36
Afghanistan,11/03/1997,798338.64
Kosovo,18/10/1992,3641001.6
Australia,01/11/1989,2566356.87
United Kingdom,09/06/1985,337626.63
Germany,07/06/1989,392679.63
Spain,16/03/1967,462591.8
Latvia,27/02/1991,1657788.32
Italy,23/05/1982,1017801.6
Lebanon,20/05/1988,1436998.44
Romania,19/10/1985,932063
Lebanon,29/10/1985,3297362.4
Bosnia and Herzegovina,14/02/1974,829323.07
Maldives,31/07/1999,314103.9
Cape Verde,28/08/1995,393366.49
Ethiopia,12/07/1965,699432.4
Cape Verde,03/07/1980,57668.73
Kosovo,14/06/1969,1460012.82
Dominican Republic,11/09/1956,593278.07
Monaco,26/03/1955,1871156
Federated States of Micronesia,05/11/1980,22970.46
The Bahamas,28/08/2000,1414393.2
Barbados,23/07/1995,711214.46
Burkina Faso,28/09/1956,4971337.14
Slovakia,24/08/1994,823169.1
Samoa ,10/08/1972,6904.2
Cambodia,03/04/1962,486733.12
South Sudan,15/02/1999,476023.68
Chad,05/07/1971,128536.8
South Korea,22/11/1988,1881743.6
Georgia,17/07/1964,6400091.88
Montenegro,15/03/1957,2113207.84
Cambodia,17/07/1964,201954.83
Lebanon,18/11/1986,351651.95
Tonga,18/12/1966,11115.28
Guinea,29/10/1974,43962.96
Mozambique,08/10/1987,3164453.6
Mauritius ,30/04/1963,40047.8
Cyprus,10/02/1992,461106.3
Andorra,31/10/1983,1368795.18
Canada,14/10/1981,92441.64
Croatia,10/10/1966,732863.42
The Gambia,05/06/1963,1038154.32
Greece,29/03/1996,971324.28
United States of America,17/12/1954,1478837.04
Philippines,06/11/1958,687569.78
Chad,01/08/1960,35351.37
Netherlands,11/05/1989,180786.76
Armenia,09/07/1992,137663.62
Costa Rica,07/12/1997,2306667.2
Costa Rica,14/12/1966,64918.14
Zimbabwe,28/09/1996,16980.6
Uzbekistan,14/02/1970,3568767.51
Afghanistan,15/11/1993,639986.96
Ghana,01/09/1965,247789.92
Jordan,16/12/1998,219474.4
Ukraine,14/12/1965,479346.45
Pakistan,25/05/1966,642246.8
Cameroon,17/08/1951,1307015.22
Botswana,27/08/1983,550302.32
Niger,29/11/1956,72186.21
Morocco,21/05/1999,816758.72
Ethiopia,23/05/1971,62464.35
Guinea,12/02/1967,2772285.2
Slovakia,02/05/1963,6272382.22
Ukraine,04/09/1968,1200465.2
Georgia,06/06/1973,5030597.25
Sudan,28/09/1995,450452.16
Swaziland,29/10/1965,1260118.2
Mexico,08/10/1958,17400.45
Uganda,22/08/1959,308961.4
Malta,19/02/1994,1451547.09
Netherlands,05/12/1971,2183906.36
Central African Republic,03/02/1991,585404.52
Mauritania,10/10/1999,2230685.26
Madagascar,18/09/1972,920046.32
The Bahamas,23/05/1960,669449.28
Kosovo,08/10/2000,5327549.01
Serbia,11/08/1956,79734.18
Lithuania,29/01/1957,444399.55
Panama,02/10/1976,7814.52
China,14/08/1965,6075242.57
Cyprus,30/09/1965,501496.6
Angola,28/10/1994,1083265.67
Mongolia,30/11/1979,60756.64
Bhutan,29/01/1993,974668.32
Djibouti,16/10/1982,212294.46
Papua New Guinea,02/09/1985,2773988.77
Bulgaria,31/10/1980,1414727.59
Eritrea,11/05/1954,454535.82
Thailand,17/01/1953,4899704.04
Equatorial Guinea,29/08/1973,2384387.36
Cote d'Ivoire,03/12/1962,78542.53
Panama,13/01/1969,2877650.4
Uganda,28/02/1956,6084255.03
Greece,12/09/1994,1066554.5
Cote d'Ivoire,07/03/1989,531748.24
Philippines,11/10/1987,1286866.48
San Marino,11/02/1992,713726.16
United Arab Emirates,16/11/1955,887389.8
Democratic Republic of the Congo,01/12/1977,7417.35
Canada,29/08/1990,2389289.49
Tunisia ,02/08/1993,1235135.1
Niger,07/11/1973,956371.44
Tajikistan,14/05/1960,1569416.1
France,16/08/1977,849870.56
Panama,28/10/1997,862687.32
Slovenia,17/06/1968,519721.07
Denmark,11/05/1986,244896.48
